uuid,article_content,translated_article,article_summary,post_content,translated_post,platform,language,category,organization,veracity,country,topic,generation_model,human_format,extraction_status,source_filepath
1730afc2-3bf0-43ca-9f54-aff6244e7b34,,,, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
b2238d94-6cdf-4f97-8c09-48e8e4ed168b,,,, The children of Minister of Defense Umierov have U.S. citizenship, The children of Minister of Defense Umierov have U.S. citizenship,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
a3296cff-bc77-41a9-9377-288827e2042e,,,, Most Ukrainians support holding elections during martial law, Most Ukrainians support holding elections during martial law,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
55954e01-69d7-49ee-b93b-d518edb5ee38,,,," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners"," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
6d246fc8-150d-43af-9848-dfe335568653,,,," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war"," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
29ea6631-a595-405e-92a2-7d6ea4dce1b2,,,," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States"," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
7c620d8d-1f0c-4275-9bd3-a56b0e286e76,,,," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front"," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
c854fb47-8956-4ffb-bbce-a91c715ee939,,,, Ukraine is no longer a state governed by the rule of law — OHCHR report, Ukraine is no longer a state governed by the rule of law — OHCHR report,,eng,,VoxCheck,manipulation,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
f0892584-401d-484a-8ef4-56890ea2c3fd,,,," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor"," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
1c967234-adb9-47ae-a901-c72045a024ee,,,, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
1c14de95-b195-4e1f-a62d-6f2b11756f34,,,, The children of Minister of Defense Umierov have U.S. citizenship, The children of Minister of Defense Umierov have U.S. citizenship,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
07e74be3-2ff2-4c87-9714-db43759e8633,,,, Most Ukrainians support holding elections during martial law, Most Ukrainians support holding elections during martial law,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
22e692e9-03f5-43b7-a4f9-67fdd4c814b2,,,," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners"," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
65852015-68a5-4231-8051-c2e8b71f4ff7,,,," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war"," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
1a03cbe0-3a82-4f47-b0a5-c2d36d122f8d,,,," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States"," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
fca5a35b-523d-47e1-a5ff-8babb56c60b7,,,," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front"," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
274ee91b-5650-4f6e-b0df-29be96971663,,,, Ukraine is no longer a state governed by the rule of law — OHCHR report, Ukraine is no longer a state governed by the rule of law — OHCHR report,,eng,,VoxCheck,manipulation,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
ee1f2740-bc38-483a-bcca-e35031fb89a5,,,," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor"," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
c6a7685e-ddfd-46b9-8bab-139e3e5d193f,,,, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
9c14576b-73e2-4dbc-8bb4-06012b0e87fd,,,, The children of Minister of Defense Umierov have U.S. citizenship, The children of Minister of Defense Umierov have U.S. citizenship,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
e3676abc-a306-4023-aea0-df716af97b16,,,, Most Ukrainians support holding elections during martial law, Most Ukrainians support holding elections during martial law,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
b9799462-b493-4894-8873-43600e56b47c,,,," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners"," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
cf6613ea-7349-4656-b3a7-397255839833,,,," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war"," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
094cc988-2164-48d5-a6ad-6e3a24f172eb,,,," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States"," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
6c8526f7-3470-4dbf-88dd-0f6a1a1afc4c,,,," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front"," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
7f7d42b9-1d0c-4159-944a-d3843241babb,,,, Ukraine is no longer a state governed by the rule of law — OHCHR report, Ukraine is no longer a state governed by the rule of law — OHCHR report,,eng,,VoxCheck,manipulation,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
9f3c7e4a-b708-440a-8b42-847815273cae,,,," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor"," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
04739ad6-5423-4feb-98c0-113944380a51,,,, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
36838062-db14-4533-b41c-c7ab5fbcf24f,,,, The children of Minister of Defense Umierov have U.S. citizenship, The children of Minister of Defense Umierov have U.S. citizenship,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
c6c9c045-1edc-4ba9-8304-71c0ac4057d7,,,, Most Ukrainians support holding elections during martial law, Most Ukrainians support holding elections during martial law,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
c741b8c3-e8d9-4996-99f0-f621d17ebd5e,,,," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners"," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
1b618c35-b8c6-4218-8193-0d9cc1dee769,,,," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war"," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
6561d7d1-4277-473a-8613-d71634c5a845,,,," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States"," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
3a94d0ae-b40a-469b-a70c-7a3a1e8c9df1,,,," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front"," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
2e45a106-61fb-4ced-8f98-8fbc575c8ac5,,,, Ukraine is no longer a state governed by the rule of law — OHCHR report, Ukraine is no longer a state governed by the rule of law — OHCHR report,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
441ed467-6036-422c-9d42-06b19f64971e,,,," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor"," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
721c0913-519f-429b-9772-23b04fd06061,,,, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
a3934fc8-18a0-44df-8622-a1b548dea575,,,, The children of Minister of Defense Umierov have U.S. citizenship, The children of Minister of Defense Umierov have U.S. citizenship,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
d8b72233-c7af-47ef-81e6-b21cd5d98637,,,, Most Ukrainians support holding elections during martial law, Most Ukrainians support holding elections during martial law,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
fbd1f4f8-9082-490e-ad77-9e1c997f992d,,,," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners"," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
cd2c4930-2db9-40bc-bfce-ed0e08ae6d27,,,," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war"," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
080673ec-df21-4656-ab1c-41f2372cf48c,,,," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States"," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
a262ba46-924f-48e2-9978-a620053c796a,,,," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front"," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
493a6ac1-361b-4235-8744-68091c0ffadb,,,, Ukraine is no longer a state governed by the rule of law — OHCHR report, Ukraine is no longer a state governed by the rule of law — OHCHR report,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
4bdeb7a8-7091-47d9-b149-b399c807ac0e,,,," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor"," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
9883e9eb-086c-4876-a03a-67f5509f6bb3,,,, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
038bb45d-b3bf-435a-b1b2-5b1b8c792d68,,,, The children of Minister of Defense Umierov have U.S. citizenship, The children of Minister of Defense Umierov have U.S. citizenship,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
73081f86-ba03-499b-b0bf-f61920d0a5a5,,,, Most Ukrainians support holding elections during martial law, Most Ukrainians support holding elections during martial law,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
5e658d36-8b58-45c0-96e7-65911c516962,,,," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners"," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
e6dfc0fa-3dc3-4a8d-af4b-81c091b2deda,,,," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war"," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
349c2dc5-9a5c-41f1-93f1-234151e17b07,,,," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States"," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
0ce4bd2a-e8c0-4223-93f7-e545136d8599,,,," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front"," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
500395f6-ab2f-4b50-92cf-daed7b9d369b,,,, Ukraine is no longer a state governed by the rule of law — OHCHR report, Ukraine is no longer a state governed by the rule of law — OHCHR report,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
8e2d307e-9590-43f6-bfd7-d6cf1fd5478b,,,," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor"," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
584b9339-7933-4796-b142-e469232f9593,,,, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
7e79ed40-15a1-426c-8faf-d62a6f3f0fc4,,,, The children of Minister of Defense Umierov have U.S. citizenship, The children of Minister of Defense Umierov have U.S. citizenship,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
5239e5ee-769b-42ed-a825-55dbe3dd87c4,,,, Most Ukrainians support holding elections during martial law, Most Ukrainians support holding elections during martial law,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
45a4565a-9320-436a-85c4-3f190a6d2e05,,,," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners"," Leaked conversation of Zelenskyi with his wife, in which he criticizes Western partners",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
14d64e6d-7dfb-4cdc-8269-22a3a9060c3c,,,," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war"," In the Gaza Strip, more civilians have died in a month than in Ukraine during almost two years of full-scale war",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
5379f5f7-dc9b-4c2b-aaa8-71080f6c3c2d,,,," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States"," In Chernihiv, a missile was fired at a meeting of officers of the Armed Forces of Ukraine and NATO from Poland and the Baltic States",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
8fcb2efd-8f91-4f30-89e4-c334c2f33f1f,,,," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front"," In Israel, with a population of 8 million citizens, 3.5 million went to fight, and in Ukraine, out of 40 million, not even 2 million people went to the front",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
2bc37acb-1ca0-4b22-bbd4-83e3fde3e86a,,,, Ukraine is no longer a state governed by the rule of law — OHCHR report, Ukraine is no longer a state governed by the rule of law — OHCHR report,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
a7fb05c2-54a9-414e-848f-019ba145492f,,,," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor"," In Ukraine, there are plans to release a game depicting falsifications about the Holodomor",,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
48e280f9-de9a-4593-9ead-bfa4c27f575f,,,, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine, Verkhovna Rada has adopted a law that will make the English language the main language in Ukraine,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
67322112-9114-41e3-9bf3-18bb16e0b63c,,,, The children of Minister of Defense Umierov have U.S. citizenship, The children of Minister of Defense Umierov have U.S. citizenship,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
78fd24b7-b0e8-48e8-8af5-29edd3adcfdd,,,, Most Ukrainians support holding elections during martial law, Most Ukrainians support holding elections during martial law,,eng,,VoxCheck,False,ukr,,"[gpt-4.1,gemini-pro-2.5]",post,post_only,\BLUFF_Main\source_data\human_MG_MT\Vox_Ukraine_en.csv
